,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
245,1105128,0.9,True,Centrum-Oost,52.37309,4.90845,Private room,2,1,1,5,150.0,2,1125,True,3,0,4.9,False,75.0,300.0,0.07,0.12,0.18,4.99,0.7671232876712328,750.0
246,1105924,0.5,False,Watergraafsmeer,52.35339,4.94237,Entire home/apt,4,2,3,13,250.0,4,1125,True,1,0,4.4,False,62.5,1000.0,0.09,0.24,0.26,4.99,0.019178082191780823,1250.0
247,1106466,1.0,False,Gaasperdam - Driemond,52.30573,5.01471,Private room,2,1,1,1,41.0,2,5,True,0,0,4.1,True,20.5,82.0,0.1,0.09,0.14,0.99,0.7205479452054795,207.12328767123287
248,1116446,1.0,True,Bos en Lommer,52.37871,4.84688,Private room,2,1,1,1,74.0,1,360,True,1,0,4.25,False,37.0,74.0,0.06,0.11,0.16,2.99,0.16986301369863013,315.52054794520546
249,1120077,0.67,False,Bos en Lommer,52.37784086721657,4.861779064281085,Entire home/apt,2,1,1,10,287.0,2,1125,True,14,1,4.85,False,143.5,574.0,0.09,0.26,0.19,4.99,0.09315068493150686,1433.4383561643835
250,1132247,0.67,False,Westerpark,52.39054,4.88886,Entire home/apt,4,2,4,9,325.0,3,1125,True,0,0,4.81,False,81.25,975.0,0.12,0.18,0.32,4.99,0.7561643835616438,1625.0
251,1145866,0.96,True,Bos en Lommer,52.37802,4.84513,Private room,2,1,2,7,85.0,1,60,True,7,2,4.65,False,42.5,85.0,0.05,0.08,0.15,4.99,0.09315068493150686,431.36986301369865
252,1149380,1.0,True,Bijlmer-Centrum,52.31774,4.94647,Private room,4,1,4,1,55.0,1,1125,True,4,9,4.5600000000000005,True,13.75,55.0,0.05,0.15,0.16,2.99,0.7205479452054795,274.2054794520548
253,1155251,0.13,True,Centrum-West,52.38295,4.88854,Entire home/apt,2,1,1,11,135.0,7,180,True,3,1,4.83,False,67.5,945.0,0.09,0.18,0.14,4.99,0.5013698630136987,520.4794520547945
254,1155386,0.0,False,De Pijp - Rivierenbuurt,52.34227,4.91217,Entire home/apt,2,1,2,7,99.0,6,14,True,0,0,4.72,False,49.5,594.0,0.05,0.12,0.16,4.99,0.4383561643835616,499.3150684931507
255,1156220,0.5,False,De Baarsjes - Oud-West,52.36874,4.86693,Entire home/apt,4,2,4,16,300.0,2,21,True,0,0,5.0,False,75.0,600.0,0.07,0.12,0.38,4.99,0.0,1500.0
256,1158662,0.5,False,De Baarsjes - Oud-West,52.36042,4.86161,Entire home/apt,2,1,1,12,285.0,3,30,True,0,0,4.86,False,142.5,855.0,0.13,0.28,0.32,4.99,0.0,1424.86301369863
